Entity,Year,Coal,Elec_Generated,Other_Fossil_Fuels,Gas,Oil,Other_Renewables,Hydro,Nuclear,Solar,Wind,Pry_Energy_Consumption,CO2_Emissions,Population,GDP
Algeria,1990,7.66417,16.104,314.57452,195.09874,111.811615,0.0,0.39919358,0.0,0.0,0.0,314.97372,76737624.0,25375816.0,118000000000.0
Algeria,1991,7.9084,17.345,311.22867,192.69249,110.627785,0.0,0.86639774,0.0,0.0,0.0,312.0951,78806830.0,25987937.0,121000000000.0
Algeria,1992,9.397039,18.286,319.63843,198.94875,111.292656,0.0,0.58844084,0.0,0.0,0.0,320.22687,79883310.0,26628568.0,128000000000.0
Algeria,1993,7.6525397,19.414,296.95114,178.54373,110.754875,0.0,1.0438172,0.0,0.0,0.0,297.99496,81943970.0,27277040.0,130000000000.0
Algeria,1994,7.2106,19.883,301.43024,188.16875,106.05089,0.0,0.49086028,0.0,0.0,0.0,301.92108,88608390.0,27887276.0,134000000000.0
Algeria,1995,7.2106,19.715,312.57413,202.22125,103.14228,0.0,0.57069886,0.0,0.0,0.0,313.14484,96776920.0,28470194.0,145000000000.0
Algeria,1996,3.3959599,20.654,309.5255,207.70749,98.42207,0.0,0.39919358,0.0,0.0,0.0,309.92474,100039430.0,29033045.0,157000000000.0
Algeria,1997,5.95456,21.497,297.638,194.04001,97.64342,0.0,0.22177416,0.0,0.0,0.0,297.85977,88369416.0,29579300.0,165000000000.0
Algeria,1998,6.37324,23.262,307.71323,200.68124,100.65875,0.0,0.6357528,0.0,0.0,0.0,308.349,106536560.0,30054135.0,180000000000.0
Algeria,1999,6.82681,24.757,310.83392,205.10875,98.898346,0.0,0.6002689,0.0,0.0,0.0,311.43417,91449100.0,30474359.0,193000000000.0
Algeria,2000,5.6405497,25.4,299.78595,191.01292,103.13248,0.0,0.1596775,0.0,0.0,0.0,299.94562,85398600.0,30903895.0,209000000000.0
Algeria,2001,6.5127997,26.62,310.61023,197.32211,106.77533,0.0,0.2027075,0.0,0.0,0.0,310.81296,86839250.0,31331226.0,223000000000.0
Algeria,2002,8.54805,27.65,321.78415,194.83887,118.397224,0.0,0.16637361,0.0,0.0,0.0,321.9505,90692380.0,31750833.0,245000000000.0
Algeria,2003,7.0477796,29.57,336.15356,205.93167,123.17411,0.0,0.76853275,0.0,0.0,0.0,336.9221,94580616.0,32175813.0,274000000000.0
Algeria,2004,8.408489,31.25,349.0545,211.89917,128.74683,0.0,0.72329473,0.0,0.0,0.0,349.7778,91714220.0,32628286.0,297000000000.0
Algeria,2005,6.9082203,33.91,364.68146,223.55986,134.21338,0.0,1.5900536,0.0,0.0,0.0,366.2715,110992510.0,33109258.0,327000000000.0
Algeria,2006,10.25766,35.23,378.6009,228.4975,139.84572,0.0,0.61916,0.0,0.0,0.0,379.22003,105896180.0,33623505.0,346000000000.0
Algeria,2007,8.80391,37.19,399.00073,233.80681,156.39,0.0,0.63904226,0.0,0.0,0.0,399.63977,109889440.0,34189420.0,372000000000.0
Algeria,2008,8.80391,40.23,422.76166,244.04187,169.9159,0.0,0.79524636,0.0,0.0,0.0,423.55692,111087410.0,34816962.0,396000000000.0
Algeria,2009,5.65218,38.5,447.9042,262.1176,180.13441,0.0,0.9551075,0.0,0.0,0.0,448.8593,118856330.0,35490443.0,418000000000.0
Algeria,2010,3.6053,45.73,438.48944,253.27225,181.61191,0.0,0.48017526,0.0,0.025257777,0.0,438.99487,118353256.0,36188236.0,451000000000.0
Algeria,2011,3.1982498,51.22,463.3955,267.9696,192.22765,0.0,1.0427713,0.0,0.049983334,0.0,464.48825,125094570.0,36903375.0,482000000000.0
Algeria,2012,3.3959599,57.4,506.53198,298.74075,204.39526,0.0,1.0666127,0.0,0.07327278,0.0,507.67184,135674290.0,37646164.0,498000000000.0
Algeria,2013,1.83754,59.89,536.629,321.21512,213.57639,0.0,0.26981637,0.0,0.077946946,0.0,536.9768,140786380.0,38414176.0,512000000000.0
Algeria,2014,2.08177,64.27,584.9252,360.91824,221.92514,0.0,0.5228558,0.0,0.16254583,0.002709097,585.6132,151282780.0,39205035.0,532000000000.0
Algeria,2015,1.5467899,68.84,616.9203,379.225,236.14848,0.0,0.3904811,0.0,0.1561925,0.05116639,617.5181,160087460.0,40019528.0,552000000000.0
Algeria,2016,0.56987,71.04,616.0962,385.9625,229.56384,0.0,0.19274665,0.0,0.65587413,0.051003054,616.9958,158481630.0,40850720.0,569000000000.0
Algeria,2017,2.1166599,76.07,622.2538,394.625,225.51212,0.0,0.14903222,0.0,1.3412902,0.050564446,623.7946,165173870.0,41689304.0,577000000000.0
Algeria,2018,5.815,76.71,667.6884,434.0875,227.7859,0.0,0.30955,0.0,1.5953735,0.026457276,669.61975,172705260.0,42505033.0,584000000000.0
Algeria,2019,4.80319,81.58,692.3007,450.54623,236.9513,0.0,0.40066776,0.0,1.6211231,0.02635972,694.3489,179906580.0,43294550.0,590000000000.0
Algeria,2020,1.52353,79.22,646.94934,433.50037,211.92543,0.0,0.13026388,0.0,1.799008,0.020222416,648.8988,168177860.0,44042093.0,560000000000.0
Algeria,2021,3.10521,85.45,705.838,481.5291,221.20369,0.0,0.024335083,0.0,1.7374732,0.027475111,707.6273,179596320.0,44761101.0,579000000000.0
Algeria,2022,2.17481,88.18,732.41565,503.38748,226.85338,0.0,0.04171417,0.0,1.6920305,0.04171417,734.1911,184558080.0,45477391.0,596000000000.0
Argentina,1990,12.266131,51.004894,439.55945,197.32025,229.97305,0.425,52.377666,20.659946,0.0,0.0,513.02167,112148700.0,32755907.0,339000000000.0
Argentina,1991,10.794012,53.85427,451.99594,200.91849,240.28345,0.418,46.925213,22.007765,0.0,0.0,521.34717,117754900.0,33230292.0,376000000000.0
Argentina,1992,12.168163,56.107098,482.13098,217.25648,252.70636,0.415,56.670963,20.092442,0.0,0.0,559.3094,121534696.0,33693532.0,417000000000.0
Argentina,1993,8.069987,61.86878,485.26276,229.41273,247.78004,0.306,70.28262,21.99074,0.0,0.0,577.8426,118001064.0,34152718.0,445000000000.0
Argentina,1994,7.065107,65.62203,504.39178,235.83125,261.49545,0.316,80.68641,23.366934,0.0,0.0,608.76117,118469420.0,34613491.0,473000000000.0
Argentina,1995,7.414152,67.16925,529.43555,262.47775,259.54364,0.38,78.3711,20.049881,0.0,0.0,628.23645,125276640.0,35070016.0,462000000000.0
Argentina,1996,7.766816,69.75982,568.77454,301.18326,259.82446,0.712,66.44853,21.165024,0.0,0.028440276,657.1285,131149500.0,35513794.0,489000000000.0
Argentina,1997,6.1277137,72.46247,558.97894,277.55148,275.29974,0.571,82.57294,22.589457,0.0,0.04314833,664.75507,136553060.0,35947790.0,532000000000.0
Argentina,1998,8.23741,74.169556,588.23254,296.70972,283.28546,0.66,78.28777,21.147999,5.03e-05,0.09622333,688.4251,139320100.0,36372863.0,555000000000.0
Argentina,1999,9.885469,80.744736,611.69336,314.701,287.10687,0.836,63.270077,20.163382,7.69e-05,0.10284694,696.0661,148303870.0,36794686.0,538000000000.0
Argentina,2000,7.512647,88.98,595.41785,322.96722,264.93796,1.232,84.49667,17.527328,0.000106452,0.102779165,698.77704,143468700.0,37213985.0,536000000000.0
Argentina,2001,6.1568522,90.14,553.8556,302.35025,245.34851,1.159,107.4648,19.899952,0.000126325,0.14501223,682.52423,135136850.0,37624818.0,515000000000.0
Argentina,2002,4.5862966,84.59,531.8307,294.37573,232.86867,1.692,104.4325,16.304049,0.000137185,0.21425694,654.4735,124931020.0,38029346.0,461000000000.0
